No,Kata Tunggal,Arti,Jamak Taksir,Arti Jamak,Contoh Kalimat,Terjemah
188,حقيبة,tas,حقائب,tas-tas,حَقَائِبُ السَّفَرِ تَحْمِلُ كُلَّ مَا يَلْزَمُ لِرَحْلَةٍ مُمْتِعَةٍ.,Tas-tas perjalanan membawa segala yang diperlukan untuk perjalanan yang menyenangkan.
189,صورة,gambar,صور,gambar-gambar,صُوَرُ الطَّبِيعَةِ تُبْعَثُ السُّكِينَةَ فِي النُّفُوسِ.,Foto-foto alam membawa ketenangan bagi jiwa.
190,شجرة,pohon,أشجار,pohon-pohon,أَشْجَارُ الصَّنْوَبِرِ تُمْنَحُ الْهُدُوءَ فِي أَيَّامِ الشِّتَاءِ.,Pohon-pohon pinus memberikan ketenangan di musim dingin.
191,غابة,hutan,غابات,hutan-hutan,غَابَاتُ الْأَمَازُونِ تَمْتَلِكُ تَنَوُّعًا بِيُولُوجِيًّا مُذْهِلًا.,Hutan Amazon memiliki keragaman biologis yang menakjubkan.
192,جبل,gunung,جبال,gunung-gunung,جِبَالُ الْهِمَالَايَا تَجْذِبُ الْمُتَسَلِّقِينَ مِنْ كُلِّ أَنْحَاءِ الْعَالَمِ.,Pegunungan Himalaya menarik para pendaki dari seluruh dunia.
193,نهر,sungai,أنهار,sungai-sungai,أَنْهَارُ النِّيلِ تُرَوِّي الْأَرَاضِيَ وَتُنْشِرُ الْخُصُبَةَ.,Sungai Nil mengairi tanah dan menyebarkan kesuburan.
194,بحر,laut,بحار,laut-laut,بُحُورُ الْبَحْرِ الْمُتَوَسِّطِ تَحْتَضِنُ حَيَاةً بَحْرِيَّةً مُتَنَوِّعَةً.,Lautan Mediterania mendukung kehidupan laut yang beragam.
195,قمر,bulan (satelit),أقمار,bulan-bulan (satelit),,
196,نجم,bintang,نجوم,bintang-bintang,,
197,سيارة,mobil,سيارات,mobil-mobil,,
198,قطار,kereta,قطارات,kereta-kereta,,
199,طائرة,pesawat,طائرات,pesawat-pesawat,,
200,مطار,bandara,مطارات,bandara-bandara,,
201,سفينة,kapal,سفن,kapal-kapal,,
202,سوق,pasar,أسواق,pasar-pasar,,
203,مطعم,restoran,مطاعم,restoran-restoran,,
204,كتاب,buku,كتب,buku-buku,,
205,مدينة,kota,مدن,kota-kota,,
206,قرية,desa,قرى,desa-desa,,
207,شارع,jalan,شوارع,jalan-jalan,,
208,بناية,bangunan,بنايات,bangunan-bangunan,,
209,حديقة,taman,حدائق,taman-taman,,
210,زهرة,bunga,زهور,bunga-bunga,,
211,فاكهة,buah,فواكه,buah-buahan,,
212,خضار,sayuran,خضروات,sayuran-sayuran,,
213,خروف,domba,خراف,domba-domba,,
214,بقرة,sapi,بقر,sapi-sapi,,
215,حصان,kuda,حصن,kuda-kuda,,
216,دجاجة,ayam,دجاج,ayam-ayam,,
217,سمكة,ikan,أسماك,ikan-ikan,,
218,جمل,unta,جمال,unta-unta,,
219,ثعلب,rubah,ثعالب,rubah-rubah,,
220,أسد,singa,أسود,singa-singa,,
221,نمر,macan,نمور,macan-macan,,
222,فيل,gajah,أفيال,gajah-gajah,,
223,ذئب,serigala,ذئاب,serigala-serigala,,
224,أرنب,kelinci,أرانب,kelinci-kelinci,,
225,فأر,tikus,فئران,tikus-tikus,,
226,ثعبان,ular,ثعابين,ular-ular,,
227,طائر,burung,طيور,burung-burung,,
228,حشرة,serangga,حشرات,serangga-serangga,,
229,بيت,rumah,بيوت,rumah-rumah,,
230,شباك,jendela,شبابيك,jendela-jendela,,
231,باب,pintu,أبواب,pintu-pintu,,
232,غرفة,kamar,غرف,kamar-kamar,,
233,مطبخ,dapur,مطابخ,dapur-dapur,,
234,حمام,kamar mandi,حمامات,kamar mandi-kamar mandi,,
235,سطح,atap,أسطح,atap-atap,,
236,كتاب,buku,كتب,buku-buku,,
237,معلم,guru,معلمون,guru-guru,,
238,طبيب,dokter,أطباء,dokter-dokter,,
239,طالب,murid,طلاب,murid-murid,,
240,فصل,kelas,فصول,kelas-kelas,,
241,كراسة,buku catatan,كراسات,buku catatan-buku catatan,,
242,قلعة,benteng,قلاع,benteng-benteng,,
243,حائط,dinding,حيطان,dinding-dinding,,
244,مرآة,cermin,مرايا,cermin-cermin,,
245,طريق,jalan,طرق,jalan-jalan,,
246,شجرة,pohon,أشجار,pohon-pohon,,
247,زهرة,bunga,زهور,bunga-bunga,,
248,جبل,gunung,جبال,gunung-gunung,,
249,بحر,laut,بحار,laut-laut,,
250,نهر,sungai,أنهار,sungai-sungai,,
251,سيارة,mobil,سيارات,mobil-mobil,,
252,دراجة,sepeda,دراجات,sepeda-sepeda,,
253,قطار,kereta api,قطارات,kereta api-kereta api,,
254,حافلة,bus,حافلات,bus-bus,,
255,طائرة,pesawat terbang,طائرات,pesawat terbang-pesawat terbang,,
256,سفينة,kapal,سفن,kapal-kapal,,
257,مطعم,restoran,مطاعم,restoran-restoran,,
258,فندق,hotel,فنادق,hotel-hotel,,
259,مستشفى,rumah sakit,مستشفيات,rumah sakit-rumah sakit,,
260,مدرسة,sekolah,مدارس,sekolah-sekolah,,
261,جامعة,universitas,جامعات,universitas-universitas,,
262,مكتبة,perpustakaan,مكتبات,perpustakaan-perpustakaan,,
263,مدينة,kota,مدن,kota-kota,,
264,قرية,desa,قرى,desa-desa,,
265,شاطئ,pantai,شواطئ,pantai-pantai,,
266,جزيرة,pulau,جزر,pulau-pulau,,
267,حديقة,taman,حدائق,taman-taman,,
268,مطبخ,dapur,مطابخ,dapur-dapur,,
269,حمام,kamar mandi,حمامات,kamar mandi-kamar mandi,,
270,حديقة حيوان,kebun binatang,حدائق حيوان,kebun binatang-kebun binatang,,
271,منتزه,taman rekreasi,منتزهات,taman rekreasi-taman rekreasi,,
272,مسرح,teater,مسارح,teater-teater,,
273,سينما,bioskop,سينمات,bioskop-bioskop,,
274,متجر,toko,متاجر,toko-toko,,
275,سوق,pasar,أسواق,pasar-pasar,,
276,محل,toko kecil,محلات,toko kecil-toko kecil,,
277,مكتب,kantor,مكاتب,kantor-kantor,,
278,عامل,pekerja,عمال,pekerja-pekerja,,
279,مدير,manajer,مديرون,manajer-manajer,,
280,موظف,karyawan,موظفون,karyawan-karyawan,,
281,فريق,tim,فرق,tim-tim,,
282,مباراة,pertandingan,مباريات,pertandingan-pertandingan,,
283,ملعب,lapangan,ملاعب,lapangan-lapangan,,
284,هدف,tujuan/gol,أهداف,tujuan/gol-tujuan/gol,,
285,جائزة,hadiah,جوائز,hadiah-hadiah,,
286,نافذة,jendela,نوافذ,jendela-jendela,,
287,باب,pintu,أبواب,pintu-pintu,,
288,سور,pagar,أسوار,pagar-pagar,,
289,جبل,gunung,جبال,gunung-gunung,,
290,وطن,tanah air,أوطان,tanah air-tanah air,,
291,كتاب,buku,كتب,buku-buku,,
292,غرفة,kamar,غرف,kamar-kamar,,
293,بيت,rumah,بيوت,rumah-rumah,,
294,باب,pintu,أبواب,pintu-pintu,,
295,صديق,teman,أصدقاء,teman-teman,,
296,عامل,pekerja,عمال,pekerja-pekerja,,
297,طريق,jalan,طرق,jalan-jalan,,
298,رئيس,pemimpin,رؤساء,pemimpin-pemimpin,,
299,وزير,menteri,وزراء,menteri-menteri,,
300,عالم,ilmuwan,علماء,ilmuwan-ilmuwan,,
301,طفل,anak,أطفال,anak-anak,,
302,عائلة,keluarga,عائلات,keluarga-keluarga,,
303,سيارة,mobil,سيارات,mobil-mobil,,
304,قلم,pena,أقلام,pena-pena,,
305,طاولة,meja,طاولات,meja-meja,,
306,كرسي,kursi,كراسي,kursi-kursi,,
307,صورة,gambar,صور,gambar-gambar,,
308,خاتم,cincin,خواتم,cincin-cincin,,
309,جدار,dinding,جدران,dinding-dinding,,
310,ضيف,tamu,ضيوف,tamu-tamu,,
311,بيت,rumah,بيوت,rumah-rumah,,
312,حفلة,pesta,حفلات,pesta-pesta,,
313,فريق,tim,فرق,tim-tim,,
314,بحر,laut,بحار,laut-laut,,
315,نهر,sungai,أنهار,sungai-sungai,,
316,جبل,gunung,جبال,gunung-gunung,,
317,مكان,tempat,أماكن,tempat-tempat,,
318,قمر,bulan (satellite),أقمار,bulan-bulan (satellite),,
319,نجم,bintang,نجوم,bintang-bintang,,
320,نبتة,tanaman,نباتات,tanaman-tanaman,,
321,كرسي,kursi,كراسي,kursi-kursi,,
322,نافذة,jendela,نوافذ,jendela-jendela,,
323,فصل,kelas,فصول,kelas-kelas,,
324,مصنع,pabrik,مصانع,pabrik-pabrik,,
325,لعبة,mainan,ألعاب,mainan-mainan,,
326,هاتف,telepon,هواتف,telepon-telepon,,
327,مدينة,kota,مدن,kota-kota,,
328,حديقة,taman,حدائق,taman-taman,,
329,مطعم,restoran,مطاعم,restoran-restoran,,
330,مكتبة,perpustakaan,مكتبات,perpustakaan-perpustakaan,,
331,ساعة,jam,ساعات,jam-jam,,
332,مدرسة,sekolah,مدارس,sekolah-sekolah,,
333,طائرة,pesawat terbang,طائرات,pesawat terbang-pesawat terbang,,
334,شاطئ,pantai,شواطئ,pantai-pantai,,
335,بحر,laut,بحار,laut-laut,,
336,دكان,toko,دكاكين,toko-toko,,
337,طريق,jalan,طرق,jalan-jalan,,
338,درس,pelajaran,دروس,pelajaran-pelajaran,,
339,حالة,kasus,حالات,kasus-kasus,,
340,بنت,anak perempuan,بنات,anak-anak perempuan,,
341,حفيد,cucu,أحفاد,cucu-cucu,,
342,حفيدة,cucu perempuan,حفيدات,cucu-cucu perempuan,,
343,هدية,hadiah,هدايا,hadiah-hadiah,,
344,مفتاح,kunci,مفاتيح,kunci-kunci,,
345,عصفور,burung kecil,عصافير,burung-burung kecil,,
346,قط,kucing,قطط,kucing-kucing,,
347,كلب,anjing,كلاب,anjing-anjing,,
348,ثوب,pakaian,ثياب,pakaian-pakaian,,
349,شجرة,pohon,أشجار,pohon-pohon,,
350,باب,pintu,أبواب,pintu-pintu,,
351,نافذة,jendela,نوافذ,jendela-jendela,,
352,سماء,langit,سماوات,langit-langit,,
353,غيمة,awan,غيوم,awan-awan,,
354,نجم,bintang,نجوم,bintang-bintang,,
355,قمر,bulan (satellite),أقمار,bulan-bulan (satellite),,
356,شاطئ,pantai,شواطئ,pantai-pantai,,
357,طاولة,meja,طاولات,meja-meja,,
358,كرسي,kursi,كراسي,kursi-kursi,,
359,صورة,gambar,صور,gambar-gambar,,
360,خاتم,cincin,خواتم,cincin-cincin,,
361,جدار,dinding,جدران,dinding-dinding,,
362,ضيف,tamu,ضيوف,tamu-tamu,,
363,بيت,rumah,بيوت,rumah-rumah,,
364,حفلة,pesta,حفلات,pesta-pesta,,
365,فريق,tim,فرق,tim-tim,,
366,بحر,laut,بحار,laut-laut,,
367,نهر,sungai,أنهار,sungai-sungai,,
368,جبل,gunung,جبال,gunung-gunung,,
369,مكان,tempat,أماكن,tempat-tempat,,
370,نافذة,jendela,نوافذ,jendela-jendela,,
371,صورة,gambar,صور,gambar-gambar,,
372,سيارة,mobil,سيارات,mobil-mobil,,
373,رحلة,perjalanan,رحلات,perjalanan-perjalanan,,
374,فكرة,ide,أفكار,ide-ide,,
375,مدينة,kota,مدن,kota-kota,,
376,شجرة,pohon,أشجار,pohon-pohon,,
377,شارع,jalan,شوارع,jalan-jalan,,
378,مصنع,pabrik,مصانع,pabrik-pabrik,,
379,مكتبة,perpustakaan,مكتبات,perpustakaan-perpustakaan,,
380,مدرسة,sekolah,مدارس,sekolah-sekolah,,
381,شاطئ,pantai,شواطئ,pantai-pantai,,
382,سفينة,kapal,سفن,kapal-kapal,,
383,قلعة,benteng,قلاع,benteng-benteng,,
384,لعبة,mainan,ألعاب,mainan-mainan,,
385,ورقة,kertas,أوراق,kertas-kertas,,
386,قلم,pena,أقلام,pena-pena,,
387,كتاب,buku,كتب,buku-buku,,
388,حقيبة,tas,حقائب,tas-tas,,
389,درس,pelajaran,دروس,pelajaran-pelajaran,,
390,خزانة,lemari,خزائن,lemari-lemari,,
391,نافذة,jendela,نوافذ,jendela-jendela,,
392,كرسي,kursi,كراسي,kursi-kursi,,
393,سرير,tempat tidur,أسرة,tempat tidur-tempat tidur,,
394,سيارة,mobil,سيارات,mobil-mobil,,
395,قطار,kereta,قطارات,kereta-kereta,,
396,باخرة,kapal laut,بواخر,kapal laut-kapal laut,,
397,جسر,jembatan,جسور,jembatan-jembatan,,
398,غرفة,kamar,غرف,kamar-kamar,,
399,باب,pintu,أبواب,pintu-pintu,,
400,طريق,jalan,طرق,jalan-jalan,,
401,شجرة,pohon,أشجار,pohon-pohon,,
402,وردة,bunga,ورود,bunga-bunga,,
403,زهرة,bunga,زهور,bunga-bunga,,
404,سيارة,mobil,سيارات,mobil-mobil,,
405,حافلة,bus,حافلات,bus-bus,,
406,دراجة,sepeda,دراجات,sepeda-sepeda,,
407,قارب,perahu,قوارب,perahu-perahu,,
408,طائرة,pesawat terbang,طائرات,pesawat terbang-pesawat terbang,,
409,رجل,laki-laki,رجال,laki-laki,,
410,امرأة,perempuan,نساء,perempuan,,
411,طفل,anak,أطفال,anak-anak,,
412,مدرسة,sekolah,مدارس,sekolah-sekolah,,
413,معلم,guru,معلمون,guru-guru,,
414,طالب,murid,طلاب,murid-murid,,
415,كتاب,buku,كتب,buku-buku,,
416,دفتر,buku catatan,دفاتر,buku catatan-buku catatan,,
417,ممحاة,penghapus,ممحاة,penghapus-penghapus,,
418,مسطرة,penggaris,مساطر,penggaris-penggaris,,
419,حاسوب,komputer,حواسيب,komputer-komputer,,
420,هاتف,telepon,هواتف,telepon-telepon,,
421,مروحة,kipas,مراوح,kipas-kipas,,
422,مصباح,lampu,مصابيح,lampu-lampu,,
423,صورة,gambar,صور,gambar-gambar,,
424,إطار,bingkai,إطارات,bingkai-bingkai,,
425,شاشة,layar,شاشات,layar-layar,,
426,كاميرا,kamera,كاميرات,kamera-kamera,,
427,مكواة,setrika,مكوات,setrika-setrika,,
428,طبق,piring,أطباق,piring-piring,,
429,كوب,gelas,أكواب,gelas-gelas,,
430,شوكة,garpu,شوك,garpu-garpu,,
431,سكين,pisau,سكاكين,pisau-pisau,,
432,ملعقة,sendok,ملاعق,sendok-sendok,,
433,وعاء,wadah,أوعية,wadah-wadah,,
434,قدر,panci,قدور,panci-panci,,
435,مقلاة,wajan,مقالي,wajan-wajan,,
436,مكيف,AC,مكيفات,AC-AC,,
437,قفل,kunci,أقفال,kunci-kunci,,
438,بطاقة,kartu,بطاقات,kartu-kartu,,
439,فرشاة,sikat,فرش,sikat-sikat,,
440,كنبة,sofa,كنبات,sofa-sofa,,
441,مصعد,lift,مصاعد,lift-lift,,
442,سلم,tangga,سلالم,tangga-tangga,,
443,طاولة,meja,طاولات,meja-meja,,
444,وسادة,bantal,وسائد,bantal-bantal,,
445,بطانية,selimut,بطانيات,selimut-selimut,,
446,مرآة,cermin,مرايا,cermin-cermin,,
447,قدر,panci,قدور,panci-panci,,
448,مكنسة,sapu,مكانس,sapu-sapu,,
449,زجاجة,botol,زجاجات,botol-botol,,
450,قنينة,botol,قنانٍ,botol-botol,,
451,إناء,wadah,أواني,wadah-wadah,,
452,سلة,keranjang,سلال,keranjang-keranjang,,
453,صندوق,kotak,صناديق,kotak-kotak,,
454,حقيبة,tas,حقائب,tas-tas,,
455,شمسية,payung,شمسيات,payung-payung,,
456,مروحة,kipas,مراوح,kipas-kipas,,
457,مجلة,majalah,مجلات,majalah-majalah,,
458,صحيفة,koran,صحف,koran-koran,,
459,رسالة,surat,رسائل,surat-surat,,
460,مظروف,amplop,مظاريف,amplop-amplop,,
461,طابع,perangko,طوابع,perangko-perangko,,
462,ورقة,kertas,أوراق,kertas-kertas,,
463,ثوب,pakaian,ثياب,pakaian-pakaian,,
464,قميص,kemeja,قمصان,kemeja-kemeja,,
465,بنطال,celana,بناطيل,celana-celana,,
466,حذاء,sepatu,أحذية,sepatu-sepatu,,
467,جورب,kaus kaki,جوارب,kaus kaki-kaus kaki,,
468,معطف,mantel,معاطف,mantel-mantel,,
469,قبعة,topi,قبعات,topi-topi,,
470,نظارة,kacamata,نظارات,kacamata-kacamata,,
471,ساعة,jam tangan,ساعات,jam tangan-jam tangan,,
472,حقيبة,tas,حقائب,tas-tas,,
473,سلسلة,rantai,سلاسل,rantai-rantai,,
474,خاتم,cincin,خواتم,cincin-cincin,,
475,عقد,kalung,عقود,kalung-kalung,,
476,قرط,anting,أقراط,anting-anting,,
477,سوار,gelang,أساور,gelang-gelang,,
478,ملعقة,sendok,ملاعق,sendok-sendok,,
479,شوكة,garpu,شوك,garpu-garpu,,
480,سكين,pisau,سكاكين,pisau-pisau,,
481,طبق,piring,أطباق,piring-piring,,
482,كوب,gelas,أكواب,gelas-gelas,,
483,وعاء,mangkuk,أوعية,mangkuk-mangkuk,,
484,مكنسة,sapu,مكانس,sapu-sapu,,
485,مجرفة,sekop,مجارف,sekop-sekop,,